trial_index,arm_name,trial_status,generation_method,is_feasible,COLOR_ERR,STRAIN_ERR,PINK,GREEN,BLUE,PURPLE,SOLID_LIQUID_RATIO
0,0_0,COMPLETED,Manual,FALSE,411.33,22.97,20,80,280,20,1.3
1,1_0,COMPLETED,Manual,FALSE,426,19.67,360,300,100,240,1.5
2,2_0,COMPLETED,Manual,FALSE,410.67,4.73,280,100,320,140,2.5
3,3_0,COMPLETED,Manual,FALSE,372.67,88.5,140,300,80,360,0.7
4,4_0,COMPLETED,Manual,FALSE,377.67,88.5,160,180,180,360,0.8
5,5_0,COMPLETED,Manual,FALSE,432.67,5.09,380,40,400,140,2.5
6,6_0,COMPLETED,Manual,FALSE,431,8.57,340,20,400,220,2
7,7_0,COMPLETED,Manual,FALSE,433.57,21.24,320,80,400,260,1.5
8,8_0,COMPLETED,Manual,FALSE,393.33,13.1,160,40,200,120,3
9,9_0,COMPLETED,Manual,FALSE,402.33,18.67,200,0,400,0,2.25
10,10_0,COMPLETED,Manual,FALSE,2451.67,9.74,1,4,14,1,2.7
11,11_0,COMPLETED,Manual,FALSE,1736.33,4.23,18,15,5,12,2.6
12,12_0,COMPLETED,Manual,FALSE,1815.33,19.9,14,5,16,7,2.4
13,13_0,COMPLETED,Manual,FALSE,5810.67,7.88,7,15,4,18,2.3
14,14_0,COMPLETED,Manual,FALSE,1601.67,3.52,8,9,9,18,2.8
15,15_0,COMPLETED,Manual,FALSE,347.67,5.39,57,96,153,123,2.6
16,16_0,COMPLETED,Manual,FALSE,178.33,3.87,164,96,0,26,2.5
17,17_0,COMPLETED,Manual,FALSE,333,2.27,0,153,0,120,2.5
18,18_0,COMPLETED,Manual,FALSE,904,1.84,3,4,1,2,2.4
19,19_0,COMPLETED,Manual,FALSE,384,0.89,80,90,90,180,2.5
