,test_group,test_index
3481,Mg2O4Si1,3481
3482,Mg2O4Si1,3482
3483,Mg2O4Si1,3483
3484,Mg2O4Si1,3484
3485,Mg2O4Si1,3485
3486,Mg2O4Si1,3486
3487,Mg2O4Si1,3487
3488,Mg2O4Si1,3488
3489,Mg2O4Si1,3489
3490,Mg2O4Si1,3490
3491,Mg2O4Si1,3491
3492,Mg2O4Si1,3492
3493,Mg2O4Si1,3493
3494,Mg2O4Si1,3494
3495,Mg2O4Si1,3495
3496,Mg2O4Si1,3496
3497,Mg2O4Si1,3497
3498,Mg2O4Si1,3498
3499,Mg2O4Si1,3499
3500,Mg2O4Si1,3500
3501,Mg2O4Si1,3501
3502,Mg2O4Si1,3502
3503,Mg2O4Si1,3503
3504,Mg2O4Si1,3504
3505,Mg2O4Si1,3505
3506,Mg2O4Si1,3506
3507,Mg2O4Si1,3507
3508,Mg2O4Si1,3508
3509,Mg2O4Si1,3509
