,test_group,test_index
2491,Mg2O4Ti1,2491
2492,Mg2O4Ti1,2492
2493,Mg2O4Ti1,2493
2494,Mg2O4Ti1,2494
2495,Mg2O4Ti1,2495
2496,Mg2O4Ti1,2496
2497,Mg2O4Ti1,2497
2498,Mg2O4Ti1,2498
2499,Mg2O4Ti1,2499
2500,Mg2O4Ti1,2500
2501,Mg2O4Ti1,2501
2502,Mg2O4Ti1,2502
2503,Mg2O4Ti1,2503
2504,Mg2O4Ti1,2504
2505,Mg2O4Ti1,2505
2506,Mg2O4Ti1,2506
2507,Mg2O4Ti1,2507
2508,Mg2O4Ti1,2508
2509,Mg2O4Ti1,2509
2510,Mg2O4Ti1,2510
2511,Mg2O4Ti1,2511
2512,Mg2O4Ti1,2512
2513,Mg2O4Ti1,2513
2514,Mg2O4Ti1,2514
2515,Mg2O4Ti1,2515
2516,Mg2O4Ti1,2516
2517,Mg2O4Ti1,2517
2518,Mg2O4Ti1,2518
2519,Mg2O4Ti1,2519
