,test_group,test_index
3340,O2.90W1,3340
3341,O2.90W1,3341
3342,O2.90W1,3342
3343,O2.90W1,3343
3344,O2.90W1,3344
3345,O2.90W1,3345
3346,O2.90W1,3346
3347,O2.90W1,3347
3348,O2.90W1,3348
3349,O2.90W1,3349
3350,O2.90W1,3350
3351,O2.90W1,3351
3352,O2.90W1,3352
3353,O2.90W1,3353
3354,O2.90W1,3354
3355,O2.90W1,3355
3356,O2.90W1,3356
3357,O2.90W1,3357
3358,O2.90W1,3358
3359,O2.90W1,3359
3360,O2.90W1,3360
3361,O2.90W1,3361
3362,O2.90W1,3362
3363,O2.90W1,3363
3364,O2.90W1,3364
3365,O2.90W1,3365
3366,O2.90W1,3366
3367,O2.90W1,3367
