,test_group,test_index
2765,Mg1O3Ti1,2765
2766,Mg1O3Ti1,2766
2767,Mg1O3Ti1,2767
2768,Mg1O3Ti1,2768
2769,Mg1O3Ti1,2769
2770,Mg1O3Ti1,2770
2771,Mg1O3Ti1,2771
2772,Mg1O3Ti1,2772
2773,Mg1O3Ti1,2773
2774,Mg1O3Ti1,2774
2775,Mg1O3Ti1,2775
2776,Mg1O3Ti1,2776
2777,Mg1O3Ti1,2777
2778,Mg1O3Ti1,2778
2779,Mg1O3Ti1,2779
2780,Mg1O3Ti1,2780
2781,Mg1O3Ti1,2781
2782,Mg1O3Ti1,2782
2783,Mg1O3Ti1,2783
2784,Mg1O3Ti1,2784
2785,Mg1O3Ti1,2785
2786,Mg1O3Ti1,2786
2787,Mg1O3Ti1,2787
2788,Mg1O3Ti1,2788
2789,Mg1O3Ti1,2789
2790,Mg1O3Ti1,2790
2791,Mg1O3Ti1,2791
2792,Mg1O3Ti1,2792
2793,Mg1O3Ti1,2793
