,formula,Temperature,target
0,B2O3,1400.0,134.306
1,B2O3,1300.0,131.29399999999998
2,B2O3,1200.0,128.072
3,B2O3,1100.0,124.516
4,B2O3,1000.0,120.625
5,B2O3,900.0,116.19
6,B2O3,800.0,111.169
7,B2O3,723.0,106.692
8,B2O3,700.0,105.228
9,B2O3,600.0,98.115
10,B2O3,500.0,89.287
11,B2O3,400.0,77.94800000000001
12,B2O3,300.0,62.927
13,B2O3,298.0,62.588
14,Be1I2,1400.0,89.34100000000001
15,Be1I2,1300.0,89.115
16,Be1I2,1200.0,88.78
17,Be1I2,1100.0,88.337
18,Be1I2,1000.0,87.789
19,Be1I2,900.0,87.132
20,Be1I2,800.0,86.366
21,Be1I2,753.0,85.944
22,Be1I2,600.0,84.19
23,Be1I2,500.0,81.638
24,Be1I2,400.0,76.868
25,Be1I2,300.0,69.128
26,Be1I2,298.0,68.961
27,Be1F3Li1,1100.0,192.46400000000003
28,Be1F3Li1,1000.0,179.912
29,Be1F3Li1,900.0,167.36
30,Be1F3Li1,800.0,154.808
31,Be1F3Li1,700.0,142.256
32,Be1F3Li1,650.0,135.98
33,Be1F3Li1,600.0,129.704
34,Be1F3Li1,500.0,117.152
35,Be1F3Li1,400.0,104.6
36,Be1F3Li1,300.0,92.048
37,Be1F3Li1,298.0,91.816
38,Al1Cl4K1,900.0,199.995
39,Al1Cl4K1,800.0,196.648
40,Al1Cl4K1,700.0,190.79
41,Al1Cl4K1,600.0,183.176
42,Al1Cl4K1,500.0,174.305
43,Al1Cl4K1,400.0,165.477
44,Al1Cl4K1,300.0,156.649
45,Al1Cl4K1,298.0,156.482
46,Al2Be1O4,2300.0,248.548
47,Al2Be1O4,2200.0,233.098
48,Al2Be1O4,2146.0,226.25
49,Al2Be1O4,2100.0,220.19
50,Al2Be1O4,2000.0,209.49
51,Al2Be1O4,1900.0,201.57
52,Al2Be1O4,1800.0,195.79
53,Al2Be1O4,1700.0,191.56
54,Al2Be1O4,1600.0,188.41
55,Al2Be1O4,1500.0,185.91
56,Al2Be1O4,1400.0,183.75
57,Al2Be1O4,1300.0,181.67
58,Al2Be1O4,1200.0,179.48
59,Al2Be1O4,1100.0,177.03
60,Al2Be1O4,1000.0,174.2
61,Al2Be1O4,900.0,170.87
62,Al2Be1O4,800.0,166.83
63,Al2Be1O4,700.0,161.75
64,Al2Be1O4,600.0,154.97
65,Al2Be1O4,500.0,145.25
66,Al2Be1O4,400.0,130.28
67,Al2Be1O4,300.0,105.94
68,Al2Be1O4,298.0,105.38
69,B2H4O4,1400.0,258.99
70,B2H4O4,1300.0,253.801
71,B2H4O4,1200.0,247.442
72,B2H4O4,1100.0,239.99400000000003
73,B2H4O4,1000.0,231.333
74,B2H4O4,900.0,221.459
75,B2H4O4,800.0,210.413
76,B2H4O4,700.0,197.025
77,B2H4O4,600.0,181.711
78,B2H4O4,500.0,163.762
79,B2H4O4,400.0,143.135
80,B2H4O4,300.0,116.775
81,B2H4O4,298.0,116.19
82,B2Mg1,1900.0,92.242
83,B2Mg1,1800.0,90.249
84,B2Mg1,1700.0,88.162
85,B2Mg1,1600.0,85.98100000000001
86,B2Mg1,1500.0,83.64299999999999
87,B2Mg1,1400.0,81.17
88,B2Mg1,1300.0,78.795
89,B2Mg1,1200.0,76.442
90,B2Mg1,1100.0,74.078
91,B2Mg1,1000.0,71.714
92,B2Mg1,900.0,69.16199999999999
93,B2Mg1,800.0,66.52600000000001
94,B2Mg1,700.0,64.015
95,B2Mg1,600.0,61.379
96,B2Mg1,500.0,58.409
97,B2Mg1,400.0,54.392
98,B2Mg1,300.0,47.865
99,B2Mg1,298.0,47.823
100,Be1F2,1200.0,87.529
101,Be1F2,1100.0,84.182
102,Be1F2,1000.0,80.835
103,Be1F2,900.0,77.488
104,Be1F2,825.0,74.977
105,Be1F2,800.0,74.14
106,Be1F2,700.0,70.793
107,Be1F2,600.0,67.446
108,Be1F2,500.0,76.048
109,Be1F2,500.0,76.048
110,Be1F2,500.0,64.09899999999999
111,Be1F2,400.0,62.522
112,Be1F2,300.0,52.028
113,Be1F2,298.0,51.819
114,B1H4Na1,1900.0,133.679
115,B1H4Na1,1800.0,133.553
116,B1H4Na1,1700.0,133.511
117,B1H4Na1,1600.0,133.428
118,B1H4Na1,1500.0,133.30200000000002
119,B1H4Na1,1400.0,133.135
120,B1H4Na1,1300.0,132.675
121,B1H4Na1,1200.0,131.754
122,B1H4Na1,1100.0,130.039
123,B1H4Na1,1000.0,127.445
124,B1H4Na1,900.0,124.265
125,B1H4Na1,800.0,120.248
126,B1H4Na1,700.0,115.269
127,B1H4Na1,600.0,108.617
128,B1H4Na1,500.0,101.797
129,B1H4Na1,400.0,94.558
130,B1H4Na1,300.0,86.64200000000001
131,B1H4Na1,298.0,86.48299999999999
132,Br2Ca1,1400.0,103.387
133,Br2Ca1,1300.0,99.412
134,Br2Ca1,1200.0,95.563
135,Br2Ca1,1100.0,91.922
136,Br2Ca1,1015.0,89.036
137,Br2Ca1,1000.0,88.617
138,Br2Ca1,900.0,85.85600000000001
139,Br2Ca1,800.0,83.471
140,Br2Ca1,700.0,81.63
141,Br2Ca1,600.0,80.5
142,Br2Ca1,500.0,79.454
143,Br2Ca1,400.0,77.99
144,Br2Ca1,300.0,75.124
145,Br2Ca1,298.0,75.04
146,Al1N1,2900.0,51.845
147,Al1N1,2800.0,51.807
148,Al1N1,2700.0,51.765
149,Al1N1,2600.0,51.718
150,Al1N1,2500.0,51.666
151,Al1N1,2400.0,51.609
152,Al1N1,2300.0,51.543
153,Al1N1,2200.0,51.469
154,Al1N1,2100.0,51.385
155,Al1N1,2000.0,51.29
156,Al1N1,1900.0,51.18
157,Al1N1,1800.0,51.052
158,Al1N1,1700.0,50.903
159,Al1N1,1600.0,50.728
160,Al1N1,1500.0,50.521
161,Al1N1,1400.0,50.272
162,Al1N1,1300.0,49.97
163,Al1N1,1200.0,49.598
164,Al1N1,1100.0,49.136
165,Al1N1,1000.0,48.55
166,Al1N1,900.0,47.792
167,Al1N1,800.0,46.791
168,Al1N1,700.0,45.434
169,Al1N1,600.0,43.538
170,Al1N1,500.0,40.799
171,Al1N1,400.0,36.692
172,Al1N1,300.0,30.254
173,Al1N1,298.0,30.097
174,Al1Cl6Na3,298.0,244.136
175,Al1Cl6Na3,1900.0,334.825
176,Al1Cl6Na3,1800.0,332.21
177,Al1Cl6Na3,1700.0,329.385
178,Al1Cl6Na3,1600.0,326.35200000000003
179,Al1Cl6Na3,1500.0,322.796
180,Al1Cl6Na3,1400.0,318.821
181,Al1Cl6Na3,1300.0,314.741
182,Al1Cl6Na3,1200.0,310.453
183,Al1Cl6Na3,1100.0,305.72
184,Al1Cl6Na3,1000.0,300.62
185,Al1Cl6Na3,900.0,294.972
186,Al1Cl6Na3,800.0,288.696
187,Al1Cl6Na3,700.0,281.165
188,Al1Cl6Na3,600.0,273.006
189,Al1Cl6Na3,500.0,264.01
190,Al1Cl6Na3,400.0,254.387
191,Al1Cl6Na3,300.0,244.513
192,Ba1H2O2,900.0,134.892
193,Ba1H2O2,800.0,130.834
194,Ba1H2O2,700.0,126.775
195,Ba1H2O2,681.15,126.022
196,Ba1H2O2,600.0,122.717
197,Ba1H2O2,500.0,118.658
198,Ba1H2O2,400.0,112.633
199,Ba1H2O2,300.0,101.797
200,Ba1H2O2,298.0,101.629
201,Al1Br3,298.0,100.578
202,Al1Br3,1400.0,124.934
203,Al1Br3,1300.0,124.851
204,Al1Br3,1200.0,124.767
205,Al1Br3,1100.0,124.683
206,Al1Br3,1000.0,124.6
207,Al1Br3,900.0,124.516
208,Al1Br3,800.0,124.432
209,Al1Br3,700.0,124.348
210,Al1Br3,600.0,124.265
211,Al1Br3,500.0,123.846
212,Al1Br3,400.0,117.78
213,Al1Br3,370.6,113.078
214,Al1Br3,300.0,100.816
215,Br3Zr1,1900.0,106.566
216,Br3Zr1,1800.0,106.525
217,Br3Zr1,1700.0,106.483
218,Br3Zr1,1600.0,106.441
219,Br3Zr1,1500.0,106.399
220,Br3Zr1,1400.0,106.357
221,Br3Zr1,1300.0,106.315
222,Br3Zr1,1200.0,106.232
223,Br3Zr1,1100.0,106.148
224,Br3Zr1,1000.0,106.064
225,Br3Zr1,900.0,105.855
226,Br3Zr1,800.0,105.437
227,Br3Zr1,700.0,105.018
228,Br3Zr1,600.0,104.6
229,Br3Zr1,500.0,103.763
230,Br3Zr1,400.0,102.508
231,Br3Zr1,300.0,99.562
232,Br3Zr1,298.0,99.483
233,Br2Ti1,1400.0,91.32
234,Br2Ti1,1300.0,90.174
235,Br2Ti1,1200.0,89.027
236,Br2Ti1,1100.0,87.881
237,Br2Ti1,1000.0,86.734
238,Br2Ti1,900.0,85.588
239,Br2Ti1,800.0,84.441
240,Br2Ti1,700.0,83.295
241,Br2Ti1,600.0,82.149
242,Br2Ti1,500.0,81.002
243,Br2Ti1,400.0,79.85600000000001
244,Br2Ti1,300.0,78.709
245,Br2Ti1,298.0,78.688
246,B1Ti1,3900.0,55.94
247,B1Ti1,3800.0,55.806
248,B1Ti1,3700.0,55.672
249,B1Ti1,3600.0,55.538
250,B1Ti1,3500.0,55.405
251,B1Ti1,3400.0,55.271
252,B1Ti1,3300.0,55.137
253,B1Ti1,3200.0,55.003
254,B1Ti1,3100.0,54.869
255,B1Ti1,3000.0,54.735
256,B1Ti1,2900.0,54.601000000000006
257,B1Ti1,2800.0,54.467
258,B1Ti1,2700.0,54.333
259,B1Ti1,2600.0,54.2
260,B1Ti1,2500.0,54.066
261,B1Ti1,2400.0,53.932
262,B1Ti1,2300.0,53.798
263,B1Ti1,2200.0,53.664
264,B1Ti1,2100.0,53.53
265,B1Ti1,2000.0,53.396
266,B1Ti1,1900.0,53.262
267,B1Ti1,1800.0,53.128
268,B1Ti1,1700.0,52.995
269,B1Ti1,1600.0,52.861
270,B1Ti1,1500.0,52.727
271,B1Ti1,1400.0,52.593
272,B1Ti1,1300.0,52.459
273,B1Ti1,1200.0,52.325
274,B1Ti1,1100.0,52.191
275,B1Ti1,1000.0,51.915
276,B1Ti1,900.0,51.488
277,B1Ti1,800.0,50.911
278,B1Ti1,700.0,50.124
279,B1Ti1,600.0,48.568000000000005
280,B1Ti1,500.0,45.714
281,B1Ti1,400.0,40.334
282,B1Ti1,300.0,29.916
283,B1Ti1,298.0,29.673
284,Be2O4Si1,2900.0,194.58900000000003
285,Be2O4Si1,2800.0,193.702
286,Be2O4Si1,2700.0,192.815
287,Be2O4Si1,2600.0,191.928
288,Be2O4Si1,2500.0,191.041
289,Be2O4Si1,2400.0,190.154
290,Be2O4Si1,2300.0,189.267
291,Be2O4Si1,2200.0,188.38
292,Be2O4Si1,2100.0,187.493
293,Be2O4Si1,2000.0,186.606
294,Be2O4Si1,1900.0,185.686
295,Be2O4Si1,1800.0,184.749
296,Be2O4Si1,1700.0,183.803
297,Be2O4Si1,1600.0,182.849
298,Be2O4Si1,1500.0,181.887
299,Be2O4Si1,1400.0,180.916
300,Be2O4Si1,1300.0,179.636
301,Be2O4Si1,1200.0,178.197
302,Be2O4Si1,1100.0,176.356
303,Be2O4Si1,1000.0,174.054
304,Be2O4Si1,900.0,170.74900000000002
305,Be2O4Si1,800.0,166.021
306,Be2O4Si1,700.0,158.866
307,Be2O4Si1,600.0,149.16
308,Be2O4Si1,500.0,136.942
309,Be2O4Si1,400.0,120.75
310,Be2O4Si1,300.0,96.098
311,Be2O4Si1,298.0,95.563
312,Br2Pb1,900.0,101.621
313,Br2Pb1,800.0,97.341
314,Br2Pb1,700.0,93.061
315,Br2Pb1,600.0,88.78399999999999
316,Br2Pb1,500.0,84.684
317,Br2Pb1,400.0,81.253
318,Br2Pb1,300.0,79.613
319,Br2Pb1,298.0,79.578
320,Al1,298.0,24.209
321,Al1,1100.0,36.722
322,Al1,1000.0,34.358000000000004
323,Al1,933.45,32.959
324,Al1,900.0,32.308
325,Al1,800.0,30.562
326,Al1,700.0,29.1
327,Al1,600.0,27.886
328,Al1,500.0,26.842
329,Al1,450.0,26.335
330,Al1,400.0,25.784
331,Al1,350.0,25.113000000000003
332,Al1,300.0,24.247
333,Br2Hg2,1400.0,125.143
334,Br2Hg2,1300.0,124.209
335,Br2Hg2,1200.0,123.47
336,Br2Hg2,1100.0,122.539
337,Br2Hg2,1000.0,121.545
338,Br2Hg2,900.0,120.416
339,Br2Hg2,800.0,119.118
340,Br2Hg2,700.0,117.529
341,Br2Hg2,600.0,115.604
342,Br2Hg2,500.0,113.052
343,Br2Hg2,400.0,109.621
344,Br2Hg2,300.0,104.703
345,Br2Hg2,298.0,104.6
346,B1H3O3,298.0,81.337
347,B1H3O3,1400.0,181.279
348,B1H3O3,1300.0,177.653
349,B1H3O3,1200.0,173.218
350,B1H3O3,1100.0,167.97400000000002
351,B1H3O3,1000.0,161.921
352,B1H3O3,900.0,155.017
353,B1H3O3,800.0,147.27700000000002
354,B1H3O3,700.0,137.915
355,B1H3O3,600.0,127.194
356,B1H3O3,500.0,114.642
357,B1H3O3,400.0,100.207
358,B1H3O3,300.0,81.755
359,Br3Ti1,1400.0,172.015
360,Br3Ti1,1300.0,168.755
361,Br3Ti1,1200.0,165.111
362,Br3Ti1,1100.0,161.084
363,Br3Ti1,1000.0,156.673
364,Br3Ti1,900.0,151.879
365,Br3Ti1,800.0,147.27700000000002
366,Br3Ti1,700.0,137.21
367,Br3Ti1,600.0,125.507
368,Br3Ti1,500.0,114.709
369,Br3Ti1,400.0,105.818
370,Br3Ti1,300.0,101.776
371,Br3Ti1,298.0,101.705
372,C1Cu1N1,900.0,80.249
373,C1Cu1N1,800.0,78.032
374,C1Cu1N1,700.0,75.689
375,C1Cu1N1,600.0,73.13600000000001
376,C1Cu1N1,500.0,70.249
377,C1Cu1N1,400.0,66.735
378,C1Cu1N1,300.0,62.195
